feature_id,site_no,site_name,da_sqkm,lat_reachCent,lon_reachCent
87382,22908295,"BOTTLE CREEK AT ROOKERY BRANCH NEAR HOMESTEAD, FL",0,25.4679775,-80.8545303
16770082,2.55654E+14,"BLACKWATER RIVER NEAR GOODLAND, FL",0,25.9481945,-81.5838852
16837810,2299450,BIG SLOUGH AT TROPICAIRE BLVD NEAR NORTH PORT FL,81,27.1211643,-82.1934204
16838064,2299472,BIG SLOUGH AT WEST PRICE BLVD NEAR NORTH PORT FL,85.6999969,27.069334,-82.2203369
16814857,2298202,SHELL CREEK NEAR PUNTA GORDA FL,373,26.9847813,-81.9356384
16807563,2297105,PEACE RIVER AT NOCATEE FL,1670,27.1625004,-81.901947
16768068,2291500,"IMPERIAL RIVER NEAR BONITA SPRINGS, FL",0,26.33564,-81.749527
16760406,2291580,"NORTH BRANCH ESTERO RIVER AT ESTERO, FL",0,26.4420242,-81.795639
16808187,2298123,PRAIRIE CREEK NEAR FORT OGDEN FL,233,27.052,-81.784523
16807555,2297100,JOSHUA CREEK AT NOCATEE FL,132,27.1667175,-81.8795319
16808391,2298110,PRAIRIE CREEK UPSTREAM OF SR 31 NEAR FT OGDEN FL,0,27.0415554,-81.7431641
16813909,2297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,0,26.9673443,-81.8266373
16731760,2256500,"FISHEATING CREEK AT PALMDALE, FL",311,26.9325581,-81.3147964
10247863,2292010,CALOOSAHATCHEE CANAL DWS OF S-77 AT MOORE HAVEN FL,,26.8333321,-81.0888901
66922,2277600,"LOXAHATCHEE RIVER NEAR JUPITER,FL",0,26.9392242,-80.1750412
11002255,2232000,"ST. JOHNS RIVER NEAR MELBOURNE, FL",968,28.0847397,-80.7519989
11002981,2231600,"JANE GREEN CREEK NEAR DEER PARK, FL",248,28.0744629,-80.8881149
11012797,2231396,"BLUE CYPRESS CREEK NEAR FELLSMERE, FL",105,27.7280846,-80.8050613
11014543,2231342,"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",52.5999985,27.5686474,-80.7961731
11002833,2232155,"PENNYWASH CREEK NEAR DEER PARK, FL",17.2000008,28.1819572,-80.89534
11002807,2232200,"WOLF CREEK NEAR DEER PARK, FL",25.7000008,28.213068,-80.9108963
16698617,2249500,"CRANE CREEK AT MELBOURNE, FL",12.6000004,28.0794601,-80.6295013
16698495,2249007,EAU GALLIE RIV AT HEATHER GLEN CIR AT MELBOURNE FL,3.8,28.1269588,-80.6467209
20112884,2251000,"SOUTH PRONG ST SEBASTIAN RIVER NEAR SEBASTIAN,FL",35,27.7694721,-80.5058899
20112458,2251500,"NORTH PRONG SAINT SEBASTIAN RIVER NEAR MICCO, FL",28.5,27.8561363,-80.5242233
16712778,2275197,"MOSQUITO CREEK NEAR OKEECHOBEE, FL",9.3999996,27.2372684,-80.7806168
16711976,2274010,"TAYLOR CREEK NEAR OKEECHOBEE, FL",45.4000015,27.3653202,-80.8725586
16711844,2274005,"OTTER CREEK NEAR OKEECHOBEE, FL",8.5600004,27.3775425,-80.8453369
16712728,2273630,"POPASH SLOUGH NEAR OKEECHOBEE, FL",23.1000004,27.2439346,-80.8964539
16715354,2274490,"WILLIAMSON DITCH NEAR OKEECHOBEE, FL",31.3999996,27.3047657,-80.8189468
30580,2.72524E+14,"FIVE MILE CANAL ABOVE S-29-1-4 NR FT. PIERCE, FL",0,27.4236507,-80.3714371
21486588,2272650,"FISH SLOUGH NEAR BASINGER, FL",38.2999992,27.4653168,-80.9220047
21491584,2270500,"ARBUCKLE CREEK NEAR DE SOTO CITY, FL",379,27.4425373,-81.2972946
21484344,2270000,CARTER CREEK NEAR SEBRING FL,38.7999992,27.5322571,-81.3875732
21491646,2271500,JOSEPHINE CREEK NEAR DE SOTO CITY FL,109,27.3742085,-81.3934097
16726628,2255600,"FISHEATING CREEK NEAR LAKE PLACID,FL",60,27.2092152,-81.4614639
16807219,2296750,PEACE RIVER AT ARCADIA FL,1367,27.2208824,-81.8761978
16806475,2296500,CHARLIE CREEK NEAR GARDNER FL,330,27.3750439,-81.7964706
16806253,2296260,CHARLIE CREEK NEAR CREWSVILLE FL,192,27.4594841,-81.6784134
16803063,2295637,PEACE RIVER AT ZOLFO SPRINGS FL,826,27.5044823,-81.8009186
16802959,2294898,PEACE RIVER AT FORT MEADE FL,480,27.7514191,-81.7820282
16802969,2295163,WHIDDEN CREEK NEAR FORT MEADE FL,43,27.7072544,-81.807579
16802007,2295420,PAYNE CREEK NEAR BOWLING GREEN FL,121,27.6205902,-81.8256378
16807511,2297310,HORSE CREEK NEAR ARCADIA FL,218,27.1994953,-81.9884186
16794835,2294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,53,28.0441875,-81.8761902
16802865,2294161,PEACE CREEK NEAR BARTOW FL,204.8000031,27.9244442,-81.7955551
16801441,2293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,162,27.9247475,-81.7267456
16802915,2294650,PEACE RIVER AT BARTOW FL,390,27.9022484,-81.8173065
16812461,2297155,HORSE CREEK NEAR MYAKKA HEAD FL,42,27.4872608,-82.0234222
16802829,2294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",18.7999992,27.9828014,-81.8934174
933100032,2294330,LAKE LENA RUN NEAR AUBURNDALE FL,21.3999996,28.0000229,-81.812027
16896704,2301150,SOUTH PRONG ALAFIA RIVER NEAR FT LONESOME FL,72.5999985,27.7293053,-82.0742798
16896626,2301000,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,135,27.8839149,-82.10009
