OBJECTID,feature_id,site_no,site_name,da_sqkm,lat_reachCent,lon_reachCent
1,87382,022908295,"BOTTLE CREEK AT ROOKERY BRANCH NEAR HOMESTEAD, FL",0.0000000,25.4679775,-80.8545303
2,16770082,255654081350200,"BLACKWATER RIVER NEAR GOODLAND, FL",0.0000000,25.9481945,-81.5838852
3,16837810,02299450,BIG SLOUGH AT TROPICAIRE BLVD NEAR NORTH PORT FL,81.0000000,27.1211643,-82.1934204
4,16838064,02299472,BIG SLOUGH AT WEST PRICE BLVD NEAR NORTH PORT FL,85.6999969,27.0693340,-82.2203369
5,16814857,02298202,SHELL CREEK NEAR PUNTA GORDA FL,373.0000000,26.9847813,-81.9356384
6,16807563,02297105,PEACE RIVER AT NOCATEE FL,1670.0000000,27.1625004,-81.9019470
7,16768068,02291500,"IMPERIAL RIVER NEAR BONITA SPRINGS, FL",0.0000000,26.3356400,-81.7495270
8,16760406,02291580,"NORTH BRANCH ESTERO RIVER AT ESTERO, FL",0.0000000,26.4420242,-81.7956390
9,16808187,02298123,PRAIRIE CREEK NEAR FORT OGDEN FL,233.0000000,27.0520000,-81.7845230
10,16807555,02297100,JOSHUA CREEK AT NOCATEE FL,132.0000000,27.1667175,-81.8795319
11,16808391,02298110,PRAIRIE CREEK UPSTREAM OF SR 31 NEAR FT OGDEN FL,0.0000000,27.0415554,-81.7431641
12,16813909,02297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,0.0000000,26.9673443,-81.8266373
13,16731760,02256500,"FISHEATING CREEK AT PALMDALE, FL",311.0000000,26.9325581,-81.3147964
14,10247863,02292010,CALOOSAHATCHEE CANAL DWS OF S-77 AT MOORE HAVEN FL,,26.8333321,-81.0888901
15,66922,02277600,"LOXAHATCHEE RIVER NEAR JUPITER,FL",0.0000000,26.9392242,-80.1750412
16,11002255,02232000,"ST. JOHNS RIVER NEAR MELBOURNE, FL",968.0000000,28.0847397,-80.7519989
17,11002981,02231600,"JANE GREEN CREEK NEAR DEER PARK, FL",248.0000000,28.0744629,-80.8881149
18,11012797,02231396,"BLUE CYPRESS CREEK NEAR FELLSMERE, FL",105.0000000,27.7280846,-80.8050613
19,11014543,02231342,"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",52.5999985,27.5686474,-80.7961731
20,11002833,02232155,"PENNYWASH CREEK NEAR DEER PARK, FL",17.2000008,28.1819572,-80.8953400
21,11002807,02232200,"WOLF CREEK NEAR DEER PARK, FL",25.7000008,28.2130680,-80.9108963
22,16698617,02249500,"CRANE CREEK AT MELBOURNE, FL",12.6000004,28.0794601,-80.6295013
23,16698495,02249007,EAU GALLIE RIV AT HEATHER GLEN CIR AT MELBOURNE FL,3.8000000,28.1269588,-80.6467209
24,20112884,02251000,"SOUTH PRONG ST SEBASTIAN RIVER NEAR SEBASTIAN,FL",35.0000000,27.7694721,-80.5058899
25,20112458,02251500,"NORTH PRONG SAINT SEBASTIAN RIVER NEAR MICCO, FL",28.5000000,27.8561363,-80.5242233
26,16712778,02275197,"MOSQUITO CREEK NEAR OKEECHOBEE, FL",9.3999996,27.2372684,-80.7806168
27,16711976,02274010,"TAYLOR CREEK NEAR OKEECHOBEE, FL",45.4000015,27.3653202,-80.8725586
28,16711844,02274005,"OTTER CREEK NEAR OKEECHOBEE, FL",8.5600004,27.3775425,-80.8453369
29,16712728,02273630,"POPASH SLOUGH NEAR OKEECHOBEE, FL",23.1000004,27.2439346,-80.8964539
30,16715354,02274490,"WILLIAMSON DITCH NEAR OKEECHOBEE, FL",31.3999996,27.3047657,-80.8189468
31,30580,272524080221800,"FIVE MILE CANAL ABOVE S-29-1-4 NR FT. PIERCE, FL",0.0000000,27.4236507,-80.3714371
32,21486588,02272650,"FISH SLOUGH NEAR BASINGER, FL",38.2999992,27.4653168,-80.9220047
33,21491584,02270500,"ARBUCKLE CREEK NEAR DE SOTO CITY, FL",379.0000000,27.4425373,-81.2972946
34,21484344,02270000,CARTER CREEK NEAR SEBRING FL,38.7999992,27.5322571,-81.3875732
35,21491646,02271500,JOSEPHINE CREEK NEAR DE SOTO CITY FL,109.0000000,27.3742085,-81.3934097
36,16726628,02255600,"FISHEATING CREEK NEAR LAKE PLACID,FL",60.0000000,27.2092152,-81.4614639
37,16807219,02296750,PEACE RIVER AT ARCADIA FL,1367.0000000,27.2208824,-81.8761978
38,16806475,02296500,CHARLIE CREEK NEAR GARDNER FL,330.0000000,27.3750439,-81.7964706
39,16806253,02296260,CHARLIE CREEK NEAR CREWSVILLE FL,192.0000000,27.4594841,-81.6784134
40,16803063,02295637,PEACE RIVER AT ZOLFO SPRINGS FL,826.0000000,27.5044823,-81.8009186
41,16802959,02294898,PEACE RIVER AT FORT MEADE FL,480.0000000,27.7514191,-81.7820282
42,16802969,02295163,WHIDDEN CREEK NEAR FORT MEADE FL,43.0000000,27.7072544,-81.8075790
43,16802007,02295420,PAYNE CREEK NEAR BOWLING GREEN FL,121.0000000,27.6205902,-81.8256378
44,16807511,02297310,HORSE CREEK NEAR ARCADIA FL,218.0000000,27.1994953,-81.9884186
45,16794835,02294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,53.0000000,28.0441875,-81.8761902
46,16802865,02294161,PEACE CREEK NEAR BARTOW FL,204.8000031,27.9244442,-81.7955551
47,16801441,02293987,PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL,162.0000000,27.9247475,-81.7267456
48,16802915,02294650,PEACE RIVER AT BARTOW FL,390.0000000,27.9022484,-81.8173065
49,16812461,02297155,HORSE CREEK NEAR MYAKKA HEAD FL,42.0000000,27.4872608,-82.0234222
50,16802829,02294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",18.7999992,27.9828014,-81.8934174
51,933100032,02294330,LAKE LENA RUN NEAR AUBURNDALE FL,21.3999996,28.0000229,-81.8120270
